BJB,Bond_Girl_Nat,Budget,Budget_Adj,Cinematographer,Composer,Conquests,Depicted_Film_Loc,Director,Kills_Others,Shooting_Loc,Top_100,US_Adj,Video_Game,World_Adj,Writer,Year,bond_actor,bond_kills,car_manufacturer,film_length,imdb,income_usa,income_world,martinis_consumed,movie_title,rotten_tomatoes
1,"Swiss, English, English",1000,7688,Ted Moore,Monty Norman,3,"Great Britain, Jamaic",Terence Young,8,"England, Jamaica",0,123517,0,457928,"Richard Maibaum, Johanna Harwood & Berkely Mather",1962,Sean Connery,4,Sunbeam,110,7.3,16067035.0,59567035,2,Dr. No,7.7
0,"English, Italian, English, Israeli",2000,15174,Ted Moore,John Barry,4,"United Kingdom, Great Britain, Turkey, Croatia, Serbia, Italy",Terence Young,16,"England, Scotland, Italy, Switzerland, Turkey",0,188161,1,598624,Richard Maibaum & Johanna Harwood,1963,Sean Connery,11,Bently,115,7.5,24800000.0,78900000,0,From Russia with Love,8.0
2,"Serbian, English",3000,22468,Ted Moore,John Barry,2,"United States, Great Britain, Switzerland",Guy Hamilton,68,"England, Switzerland, United States",1,382699,1,935404,Richard Maibaum & Paul Dehn,1964,Sean Connery,9,Aston Martin,110,7.8,51100000.0,124900000,1,Goldfinger,8.4
0,"French, Italian, Bahamian",9000,66333,Ted Moore,John Barry,3,"France, Great Britain, Bahamas, United States",Terence Young,90,"England, France, Bahamas, United States",1,468754,0,1040693,Richard Maibaum & John Hopkins,1965,Sean Connery,20,Aston Martin,130,7.0,63600000.0,141200000,0,Thunderball,6.8
0,"Japanese, Chinese, German",9500,66035,Freddie Young,John Barry,3,"United States, Russia, Kazakhstan, Norway, Japan",Lewis Gilbert,175,"Japan, Spain, Norway",1,299591,0,775740,Roald Dahl,1967,Sean Connery,21,Toyota,117,6.9,43100000.0,111600000,1,You Only Live Twice,6.3
2,"English, English, Hungarian",8000,50608,Michael Reed,John Barry,3,"Portugal, Great Britain, Switzerland",Peter R. Hunt,37,"England, Switzerland, Portugal",0,144234,0,518736,Richard Maibaum,1969,George Lazenby,5,Mercury,142,6.8,22800000.0,82000000,1,On Her Majesty's Secret Service,6.7
1,American,7200,41274,Ted Moore,John Barry,1,"Japan, Egypt, France, South Africa, Great Britain, Netherlands, United States, Mexico",Guy Hamilton,42,"England, France, Germany, Netherlands, United States",1,251083,0,664969,Richard Maibaum & Tom Mankiewicz,1971,Sean Connery,7,Ford,120,6.7,43800000.0,116000000,0,Diamonds Are Forever,6.3
1,"English, American, English",7000,36603,Ted Moore,George Martin,3,"United States, Great Britain, Jamaica",Guy Hamilton,5,"England, United States, Jamaica",1,185105,1,846046,Tom Mankiewicz,1973,Roger Moore,8,AMC,121,6.8,35400000.0,161800000,0,Live and Let Die,5.9
2,"Sweedish, French",7000,32965,Ted Moore,John Barry,2,"Great Britain, Lebanon, Portugal, Thailand",Guy Hamilton,5,"England, Thailand, Hong Kong, Portugal",0,98894,0,459623,Richard Maibaum & Tom Mankiewicz,1974,Roger Moore,1,AMC,125,6.7,21000000.0,97600000,0,The Man with the Golden Gun,5.1
1,"American, English, Bosnian",14000,53636,Claude Renoir,Marvin Hamlisch,3,"Austria, Russia, Great Britain, Egypt, Italy",Lewis Gilbert,116,"England, Switzerland, Canada, Scotland, Egypt, Italy, Malta, Bahamas, Japan",1,179297,1,710290,Christopher Wood & Richard Maibaum,1977,Roger Moore,31,Lotus,125,7.1,46800000.0,185400000,1,The Spy Who Loved Me,6.8
1,"American, French, Moroccan",31000,99134,Jean Tournier,John Barry,3,"Great Britain, United States, Italy, Brazil, Russia",Lewis Gilbert,69,"England, France, Italy, United States, Brazil, Guatemala",0,224811,0,672514,Christopher Wood,1979,Roger Moore,12,Lotus,126,6.2,70300000.0,210300000,1,Moonraker,5.7
2,"French, Australian",28000,71514,Alan Hume,Bill Conti,2,"Great Britain, Russia, Spain, Italy, Greece, Albania",John Glen,36,"England, Italy, Malta, Greece",1,139964,0,498812,Michael G. Wilson & Richard Maibaum,1981,Roger Moore,18,Citroën,127,6.8,54800000.0,195300000,0,For Your Eyes Only,6.3
1,"Sweedish, English",27500,64102,Alan Hume,John Barry,2,"Great Britain, India, Russia, Germany",John Glen,43,"England, West Berlin, India",1,158274,0,437059,"George MacDonald Fraser, Michael G. Wilson & Richard Maibaum",1983,Roger Moore,15,Bajaj,131,6.5,67900000.0,187500000,0,Octopussy,5.3
2,"American, Jamaican, Sweedish, Nigerian",30000,64730,Alan Hume,John Barry,4,"Russia, Great Britain, France, United States",John Glen,57,"England, Switzerland, Iceland, France, United States",1,108592,0,329322,Michael G. Wilson & Richard Maibaum,1985,Roger Moore,5,Rolls Royce,131,6.2,50327960.0,152627960,0,A View to a Kill,4.7
1,"Dutch, American",40000,81749,Alec Mills,John Barry,2,"Gibraltar, Great Britain, Slovakia, Austria, Morocco, Afghanistan, Pakistan",John Glen,29,"England, Germany, Austria, Italy, Morocco",0,104608,0,390758,Michael G. Wilson & Richard Maibaum,1987,Timothy Dalton,13,Rolls Royce,130,6.7,51185000.0,191200000,2,The Living Daylights,6.3
1,"American, American",42000,78637,Alec Mills,Michael Kamen,2,"United States, Bahamas, Great Britain",John Glen,13,"Mexico, United States",0,64907,1,292392,Michael G. Wilson & Richard Maibaum,1989,Timothy Dalton,10,Aston Martin,133,6.5,34667015.0,156167015,1,License to Kill,6.0
1,"Polish, Dutch",60000,91404,Phil Méheux,Éric Serra,2,"Russia, Monaco, France, England, United States, Cuba",Martin Campbell,25,"England, France, Monaco, Switzerland, Russia, Puerto Rico",0,162135,1,542985,"Michael France, Jeffrey Caine, Kevin Wade & Bruce Feirstein",1995,Pierce Brosnan,47,BMW,130,7.2,106429941.0,356429941,1,GoldenEye,6.9
1,"Malaysian, American, Danish",110000,159117,Robert Elswit,David Arnold,3,"Russia, England, Germany, Vietnam",Roger Spottiswoode,24,"England, France, Germany, Thailand",0,181254,1,491098,Bruce Feirstein,1997,Pierce Brosnan,30,Aston Martin,119,6.4,125304276.0,339504276,1,Tomorrow Never Dies,6.0
2,"American, French, English",135000,188130,Adrian Biddle,David Arnold,3,"Spain, England, Scotland, Kazakhstan, Azerbaijan, Turkey, North Korea, South Korea",Michael Apted,43,"England, Scotland, France, Spain, Turkey, Azerbaijan",0,176885,1,504091,"Neal Purvis, Robert Wade & Bruce Feirstein",1999,Pierce Brosnan,27,BMW,128,6.3,126930660.0,361730660,1,The World Is Not Enough,5.7
1,"American, Filipino",142000,183255,David Tattersall,David Arnold,2,"South Korea, Hong Kong, Cube, England, Iceland",Lee Tamahori,20,"England, Spain, Iceland, Norway, United States",1,207700,0,557433,Neal Purvis and Robert Wade,2002,Pierce Brosnan,31,Aston Martin,133,6.0,160942139.0,431942139,2,Die Another Day,6.1
1,"French, Italian",102000,117465,Phil Méheux,David Arnold,2,"Czech Republic, Pakistan, Uganda, Madagascar, Bahamas, England, United States, Monenegro, Italy",Martin Campbell,11,"England, Italy, Czech republic, Bahamas, United States",1,192740,0,686784,"Neal Purvis, Robert Wade & Paul Haggis",2006,Daniel Craig,11,Aston Martin,144,7.9,167365000.0,596365000,3,Casino Royale,7.8
0,English,230000,248014,Roberto Schaefer,David Arnold,1,"Italy, England, Haiti, Austria, Bolivia, Russia",Marc Forster,15,"England, Italy, Spain, Panama, Mexico, Chile, Austria",1,182633,1,638035,Paul Haggis and Neal Purvis and Robert Wade,2008,Daniel Craig,16,Aston Martin,106,6.7,169368427.0,591692078,6,Quantum of Solace,6.1
1,"French, Greek, English",200000,202240,Roger Deakins,Thomas Newman,3,"Turkey, England, China, Macau, Japan, Scotland",Sam Mendes,26,"England, Scotland, Turkey, China",1,307770,0,1120980,"Neal Purvis, Robert Wade & John Logan",2012,Daniel Craig,26,Aston Martin,143,7.8,304360277.0,1108561108,1,Skyfall,8.2
1,"French, Italian, Mexican",245000,240803,Hoyte van Hoytema,Thomas Newman,3,"Mexico, England, Italy, Austria, Morocco, Vatican City",Sam Mendes,205,"England, Austria, Italy, Vatican City, Mexico, Morocco",1,196647,0,864553,"John Logan & Neal Purvis, Robert Wade & Jez Butterworth",2015,Daniel Craig,30,Aston Martin,148,6.8,200074175.0,879620923,1,Spectre,6.4
